Customer Number,Delivery ID,Customer Delv No.,Product Group,Bar Code,Box exists,Box code scanable
43030978,6020006716,BXFR25053,Alternator,4047024414891.0,Y,Y
43006469,6020005325,BXFR23763,Starter,4047024813311.0,Y,Y
43126469,6020007790,BXFR25926,Starter,3165141220001.0,Y,Y
43953673,6020007666,BXFR24398,Alternator,4047024797574.0,Y,Y
43966648,6020007967,BXFR26069,Starter,3165141094978.0,Y,Y
43966760,6020007114,BXFR25394,Alternator,4047025385855.0,Y,Y
43008479,6020004665,BXFR23161,Starter,4047024813311.0,Y,Y
43134166,6020007026,BXFR25303,Starter,4047024413764.0,Y,Y
43967213,6020006378,BXFR24651,Starter,3165141094978.0,Y,Y
43010507,6020008002,BXFR26009,Starter,3165143982839.0,Y,Y
43140245,6020005445,BXFR23875,Starter,4047024614390.0,Y,Y
43002182,6020006515,BXFR24877,Starter,4047024813267,Y,Y
43003659,6020005858,BXFR24273,Alternator,4047024797802.0,Y,Y
43966760,6020005157,BXFR23630,Alternator,4047024809970.0,Y,Y
43966760,6020006480,BXFR24855,Alternator,4047024816701.0,Y,Y
43140245,6020007377,BXFR25594,Alternator,4047024733664.0,Y,Y
43966648,6020006385,BXFR24760,Alternator,4047025385855.0,Y,Y
43952007,6020007934,BXFR26050,Starter,4047024413764.0,Y,Y
43136841,6020006331,BXFR24646,Alternator,4047024666481,Y,Y
43010507,6020007375,BXFR25543,Starter,3165141025842.0,Y,Y
43005797,6020006710,BXFR25046,Starter,3165143982815.0,Y,Y
43010673,6020007078,BXFR25347,Starter,3165143131589.0,Y,Y
43966760,6020006480,BXFR24855,Alternator,4047024797574.0,Y,Y
43966760,6020004720,BXFR23245,Alternator,4047024837478.0,Y,Y
43966760,6020007965,BXFR26085,Starter,4047024614383.0,Y,Y
43966650,6020006111,BXFR24482,Starter,4047024413764.0,Y,Y
43027376,6020007057,BXFR25329,Starter,4047024413764.0,Y,Y
43051919,6020007981,BXFR26115,Starter,4047024413764.0,Y,Y
43969852,6020007976,BXFR26077,Starter,3165141220001.0,Y,Y
43952126,6020008011,BXFR26141,Starter,4047024413771.0,Y,Y
43966648,6020005909,BXFR24321,Starter,4047024614376.0,Y,Y
43965908,6020005866,BXFR24281,Starter,4047024413764.0,Y,Y
43970003,6020005135,BXFR23594,Starter,4047026090970.0,Y,Y
1353,6020004662,BXFR23183,Starter,4047024614383.0,Y,Y
43970279,6020007626,BXFR25797,Alternator,4047025385855,Y,Y
43051919,6020007249,BXFR25491,Starter,0,Y,N
43012722,6020006305,BXFR24670,Starter,4047023204691,Y,Y
43006757,6020004588,BXFR23108,Alternator,4047024666481.0,Y,Y
43012437,6020005099,BXFR23543,Starter,3165143131589.0,Y,Y
43140245,6020007877,BXFR26014,Starter,4047024614383.0,Y,Y
43953463,6020005758,BXFR24199,Starter,4047024413764.0,Y,Y
43126420,6020005191,BXFR23620,Alternator,4047024733664.0,Y,Y
43134681,6020004530,BXFR23068,Starter,4047024813366.0,Y,Y
43966648,6020005156,BXFR23599,Alternator,4047024414860.0,Y,Y
