# TEST CONFIGURATION BEGIN
# DataStream(n_targets=7, target_idx=1, cat_features=None, name=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=True, max_samples=65000, max_time=inf, metrics=['accuracy', 'true_vs_predicted', 'data_points', 'running_time', 'model_size'], n_wait=500, output_file='output.csv', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[DTC],current_acc_[DTC],true_value,predicted_value_[DTC],training_time_[DTC],testing_time_[DTC],total_running_time_[DTC],model_size_[DTC]
499,0.496000,0.496000,34.000000,0.000000,0.010719,0.332014,0.342734,20.433594
999,0.501000,0.506000,71.000000,71.000000,0.011587,0.684406,0.695993,20.433594
1499,0.480000,0.438000,76.000000,0.000000,0.012370,1.025554,1.037924,20.433594
1999,0.451000,0.364000,138.000000,34.000000,0.013118,1.359849,1.372967,20.433594
2499,0.452400,0.458000,33.000000,0.000000,0.013890,1.703929,1.717819,20.433594
2999,0.465667,0.532000,34.000000,0.000000,0.014703,2.052603,2.067306,20.433594
3499,0.466286,0.470000,126.000000,126.000000,0.015498,2.397957,2.413455,20.433594
3999,0.469750,0.494000,59.000000,59.000000,0.016282,2.741851,2.758133,20.433594
4499,0.486222,0.618000,34.000000,0.000000,0.017068,3.083892,3.100960,20.433594
4999,0.489800,0.522000,144.000000,0.000000,0.017805,3.417947,3.435752,20.433594
5499,0.497636,0.576000,48.000000,48.000000,0.018668,3.766893,3.785562,20.433594
5999,0.501833,0.548000,34.000000,34.000000,0.019444,4.104786,4.124230,20.433594
6499,0.504000,0.530000,106.000000,106.000000,0.020202,4.441764,4.461966,20.433594
6999,0.512571,0.624000,34.000000,0.000000,0.020961,4.776569,4.797530,20.433594
7499,0.516000,0.564000,59.000000,59.000000,0.021714,5.111704,5.133417,20.433594
7999,0.518125,0.550000,2.000000,2.000000,0.022522,5.457901,5.480423,20.433594
8499,0.515059,0.466000,2.000000,2.000000,0.023273,5.791122,5.814395,20.433594
8999,0.520000,0.604000,45.000000,45.000000,0.024045,6.128452,6.152497,20.433594
9499,0.520632,0.532000,57.000000,57.000000,0.024811,6.466680,6.491491,20.433594
9999,0.516400,0.436000,91.000000,27.000000,0.025570,6.806132,6.831702,20.433594
10499,0.519619,0.584000,114.000000,114.000000,0.026386,7.154694,7.181081,20.433594
10999,0.517818,0.480000,34.000000,0.000000,0.027167,7.493983,7.521150,20.433594
11499,0.519826,0.564000,64.000000,50.000000,0.027954,7.838498,7.866452,20.433594
11999,0.522583,0.586000,16.000000,0.000000,0.028944,8.223761,8.252705,20.433594
12499,0.523360,0.542000,115.000000,0.000000,0.029838,8.584000,8.613837,20.433594
12999,0.521615,0.478000,44.000000,44.000000,0.030684,8.937741,8.968425,20.433594
13499,0.515259,0.350000,92.000000,92.000000,0.031504,9.284340,9.315844,20.433594
13999,0.517786,0.586000,34.000000,0.000000,0.032291,9.625467,9.657758,20.433594
14499,0.517517,0.510000,34.000000,34.000000,0.033074,9.965000,9.998074,20.433594
14999,0.520867,0.618000,143.000000,143.000000,0.033870,10.311933,10.345803,20.433594
15499,0.518968,0.462000,80.000000,80.000000,0.034687,10.653346,10.688033,20.433594
15999,0.519375,0.532000,109.000000,109.000000,0.035466,10.993250,11.028717,20.433594
16499,0.518424,0.488000,2.000000,0.000000,0.036244,11.332161,11.368405,20.433594
16999,0.518294,0.514000,120.000000,0.000000,0.037259,11.694923,11.732182,20.433594
17499,0.519371,0.556000,34.000000,0.000000,0.038078,12.042797,12.080875,20.433594
17999,0.518500,0.488000,39.000000,0.000000,0.038893,12.389276,12.428169,20.433594
18499,0.519351,0.550000,39.000000,29.000000,0.039716,12.735942,12.775658,20.433594
18999,0.516316,0.404000,57.000000,57.000000,0.040600,13.083800,13.124399,20.433594
19499,0.518000,0.582000,49.000000,0.000000,0.041403,13.431507,13.472910,20.433594
19999,0.519750,0.588000,84.000000,84.000000,0.042205,13.771662,13.813867,20.433594
20499,0.520927,0.568000,82.000000,82.000000,0.043020,14.124169,14.167190,20.433594
20999,0.519476,0.460000,136.000000,0.000000,0.043796,14.463742,14.507537,20.433594
21499,0.520884,0.580000,136.000000,74.000000,0.044593,14.806874,14.851467,20.433594
21999,0.521727,0.558000,43.000000,43.000000,0.045432,15.156296,15.201728,20.433594
22499,0.521333,0.504000,34.000000,0.000000,0.046326,15.502941,15.549267,20.433594
22999,0.517261,0.334000,125.000000,128.000000,0.047130,15.844812,15.891941,20.433594
23499,0.517149,0.512000,137.000000,137.000000,0.047914,16.189281,16.237195,20.433594
23999,0.517167,0.518000,122.000000,0.000000,0.048738,16.534656,16.583393,20.433594
24499,0.516939,0.506000,134.000000,134.000000,0.049574,16.889804,16.939378,20.433594
24999,0.517240,0.532000,35.000000,35.000000,0.050391,17.236549,17.286940,20.433594
25499,0.518431,0.578000,136.000000,136.000000,0.051194,17.583198,17.634392,20.433594
25999,0.517846,0.488000,34.000000,34.000000,0.052009,17.927170,17.979179,20.433594
26499,0.519170,0.588000,4.000000,4.000000,0.052869,18.281331,18.334200,20.433594
26999,0.516037,0.350000,54.000000,0.000000,0.053673,18.625003,18.678676,20.433594
27499,0.514909,0.454000,134.000000,134.000000,0.054469,18.964440,19.018909,20.433594
27999,0.515821,0.566000,134.000000,134.000000,0.055334,19.304204,19.359537,20.433594
28499,0.514702,0.452000,142.000000,0.000000,0.056124,19.644305,19.700429,20.433594
28999,0.515241,0.546000,33.000000,0.000000,0.056900,19.987936,20.044836,20.433594
29499,0.513932,0.438000,81.000000,0.000000,0.057728,20.333704,20.391432,20.433594
29999,0.514067,0.522000,77.000000,77.000000,0.058512,20.679538,20.738050,20.433594
30499,0.515082,0.576000,18.000000,19.000000,0.059293,21.021682,21.080975,20.433594
30999,0.514065,0.452000,143.000000,0.000000,0.060089,21.363945,21.424034,20.433594
31499,0.513143,0.456000,65.000000,59.000000,0.060913,21.711504,21.772417,20.433594
31999,0.512938,0.500000,112.000000,112.000000,0.061719,22.059092,22.120811,20.433594
32499,0.514492,0.614000,93.000000,93.000000,0.062529,22.402192,22.464720,20.433594
32999,0.515273,0.566000,29.000000,0.000000,0.063332,22.742192,22.805524,20.433594
33499,0.513970,0.428000,135.000000,8.000000,0.064146,23.089686,23.153832,20.433594
33999,0.512059,0.384000,80.000000,0.000000,0.064970,23.441983,23.506953,20.433594
34499,0.511594,0.480000,23.000000,92.000000,0.065711,23.773909,23.839620,20.433594
34999,0.508514,0.296000,54.000000,56.000000,0.066552,24.121453,24.188005,20.433594
35499,0.508732,0.524000,68.000000,0.000000,0.067325,24.462288,24.529613,20.433594
35999,0.509917,0.594000,137.000000,137.000000,0.068137,24.805065,24.873203,20.433594
36499,0.510630,0.562000,64.000000,0.000000,0.068964,25.148111,25.217076,20.433594
36999,0.512162,0.624000,57.000000,57.000000,0.069748,25.485955,25.555703,20.433594
37499,0.512800,0.560000,40.000000,40.000000,0.070536,25.828223,25.898759,20.433594
37999,0.513447,0.562000,114.000000,113.000000,0.071382,26.178861,26.250242,20.433594
38499,0.513039,0.482000,7.000000,7.000000,0.072186,26.524731,26.596917,20.433594
38999,0.514103,0.596000,12.000000,12.000000,0.072994,26.872593,26.945587,20.433594
39499,0.515190,0.600000,34.000000,0.000000,0.073735,27.207654,27.281389,20.433594
39999,0.514775,0.482000,120.000000,0.000000,0.074564,27.549778,27.624342,20.433594
40499,0.514272,0.474000,34.000000,34.000000,0.075350,27.893801,27.969151,20.433594
40999,0.513780,0.474000,120.000000,120.000000,0.076183,28.240868,28.317051,20.433594
41499,0.514386,0.564000,146.000000,0.000000,0.076986,28.580352,28.657338,20.433594
41999,0.514214,0.500000,11.000000,11.000000,0.077789,28.921781,28.999570,20.433594
42499,0.515271,0.604000,88.000000,88.000000,0.078564,29.262962,29.341526,20.433594
42999,0.515349,0.522000,148.000000,0.000000,0.079456,29.623359,29.702814,20.433594
43499,0.515287,0.510000,70.000000,70.000000,0.080234,29.961676,30.041910,20.433594
43999,0.514636,0.458000,34.000000,34.000000,0.081068,30.317336,30.398405,20.433594
44499,0.514921,0.540000,34.000000,34.000000,0.081934,30.672269,30.754203,20.433594
44999,0.513956,0.428000,34.000000,34.000000,0.082730,31.011057,31.093787,20.433594
45499,0.514286,0.544000,34.000000,0.000000,0.083543,31.352616,31.436160,20.433594
45999,0.515109,0.590000,39.000000,39.000000,0.084441,31.705494,31.789935,20.433594
46499,0.515140,0.518000,114.000000,114.000000,0.085223,32.046581,32.131804,20.433594
46999,0.516085,0.604000,85.000000,0.000000,0.085997,32.386175,32.472172,20.433594
47499,0.517137,0.616000,127.000000,127.000000,0.086797,32.724897,32.811695,20.433594
47999,0.518292,0.628000,72.000000,72.000000,0.087574,33.064148,33.151722,20.433594
48499,0.517649,0.456000,40.000000,40.000000,0.088372,33.407476,33.495848,20.433594
48999,0.518408,0.592000,136.000000,0.000000,0.089210,33.755195,33.844404,20.433594
49499,0.516162,0.296000,59.000000,0.000000,0.089982,34.094814,34.184796,20.433594
49999,0.516140,0.514000,29.000000,29.000000,0.090746,34.434016,34.524762,20.433594
50499,0.516158,0.518000,74.000000,0.000000,0.091554,34.774644,34.866198,20.433594
50999,0.515843,0.484000,56.000000,0.000000,0.092364,35.117877,35.210242,20.433594
51499,0.513573,0.282000,106.000000,106.000000,0.093151,35.467214,35.560365,20.433594
51999,0.514288,0.588000,64.000000,0.000000,0.093976,35.813022,35.906998,20.433594
52499,0.514190,0.504000,29.000000,29.000000,0.094775,36.153419,36.248194,20.433594
52999,0.514547,0.552000,11.000000,84.000000,0.095586,36.498563,36.594148,20.433594
53499,0.514692,0.530000,57.000000,57.000000,0.096419,36.850221,36.946639,20.433594
53999,0.514407,0.484000,142.000000,0.000000,0.097185,37.187810,37.284995,20.433594
54499,0.512697,0.328000,109.000000,0.000000,0.097970,37.525991,37.623961,20.433594
54999,0.512455,0.486000,42.000000,0.000000,0.098725,37.863473,37.962198,20.433594
55499,0.511730,0.432000,30.000000,46.000000,0.099507,38.202215,38.301722,20.433594
55999,0.511536,0.490000,95.000000,95.000000,0.100272,38.535817,38.636089,20.433594
56499,0.511965,0.560000,34.000000,0.000000,0.101169,38.878717,38.979886,20.433594
56999,0.511596,0.470000,138.000000,34.000000,0.101961,39.214083,39.316044,20.433594
57499,0.510713,0.410000,120.000000,120.000000,0.102750,39.552926,39.655677,20.433594
57999,0.511276,0.576000,4.000000,0.000000,0.103568,39.897461,40.001029,20.433594
58499,0.511846,0.578000,37.000000,37.000000,0.104370,40.240065,40.344435,20.433594
58999,0.512356,0.572000,59.000000,59.000000,0.105173,40.587577,40.692749,20.433594
59499,0.511882,0.456000,104.000000,4.000000,0.105974,40.931550,41.037524,20.433594
59999,0.510883,0.392000,34.000000,34.000000,0.106805,41.283528,41.390332,20.433594
60499,0.510479,0.462000,148.000000,42.000000,0.107596,41.627588,41.735184,20.433594
60999,0.509902,0.440000,76.000000,0.000000,0.108355,41.964660,42.073014,20.433594
61499,0.509154,0.418000,7.000000,101.000000,0.109142,42.303796,42.412938,20.433594
61999,0.508968,0.486000,62.000000,62.000000,0.109931,42.641996,42.751927,20.433594
62499,0.509120,0.528000,142.000000,0.000000,0.110716,42.984905,43.095620,20.433594
62771,0.509224,0.538000,114.000000,7.000000,0.111183,43.172412,43.283595,20.433594
